Year, January, February, March, April, May, June, July, August, September, October, November, December, Total
1980,6.62,4.62,6.04,5.29,5.70,5.31,5.54,4.95,4.22,9.48,6.68,6.62,99.26
1981,6.83,6.41,4.97,6.46,5.56,5.52,6.26,5.49,5.26,5.08,5.27,5.92,95.62
1982,6.96,6.64,5.71,5.89,6.66,7.10,6.36,5.97,5.08,4.44,5.29,7.81,104.79
1983,8.64,7.86,7.35,6.58,6.48,9.88,10.08,9.11,10.30,8.87,7.38,8.68,164.01
1984,9.67,9.50,8.94,9.54,9.05,10.08,9.72,9.35,11.75,10.44,10.53,11.98,215.26
1985,11.76,10.87,10.16,8.20,7.20,8.49,10.31,12.05,11.12,10.62,13.97,15.07,242.23
1986,14.37,12.72,4.77,0.78,1.40,1.27,1.71,3.55,1.72,1.90,5.45,11.65,79.66
1987,13.21,12.64,16.37,19.10,21.45,19.71,9.21,4.87,7.78,11.22,15.08,14.15,363.41
1988,18.89,15.70,17.60,19.29,17.42,22.00,21.91,21.59,27.45,25.62,27.94,28.70,980.21
1989,37.49,16.78,6.82,8.33,17.92,28.65,27.74,33.71,37.56,39.77,47.82,51.50,1972.91
1990,67.55,75.73,82.39,15.52,7.59,11.75,12.92,12.88,14.41,14.36,16.81,18.44,1620.97
1991,20.75,20.72,11.92,4.99,7.43,11.19,12.41,15.63,15.63,20.23,25.21,23.71,472.70
1992,25.94,24.32,21.40,19.93,24.86,20.21,21.83,22.14,24.63,25.24,22.49,25.24,1119.10
1993,30.35,24.98,27.26,27.75,27.69,30.07,30.72,32.96,35.69,33.92,35.56,36.84,2477.15
1994,41.31,40.27,42.75,42.68,44.03,47.43,6.84,1.86,1.53,2.62,2.81,1.71,916.46
1995,1.70,1.02,1.55,2.43,2.67,2.26,2.36,0.99,0.99,1.41,1.47,1.56,22.41
1996,1.34,1.03,0.35,1.26,1.22,1.19,1.11,0.44,0.15,0.30,0.32,0.47,9.56
1997,1.18,0.50,0.51,0.88,0.41,0.54,0.22,-0.02,0.06,0.23,0.17,0.43,5.22
1998,0.71,0.46,0.34,0.24,0.50,0.02,-0.12,-0.51,-0.22,0.02,-0.12,0.33,1.65
1999,0.70,1.05,1.10,0.56,0.30,0.19,1.09,0.56,0.31,1.19,0.95,0.60,8.94
2000,0.62,0.13,0.22,0.42,0.01,0.23,1.61,1.31,0.23,0.14,0.32,0.59,5.97
2001,0.57,0.46,0.38,0.58,0.41,0.52,1.33,0.70,0.28,0.83,0.71,0.65,7.67
2002,0.52,0.36,0.60,0.80,0.21,0.42,1.19,0.65,0.72,1.31,3.02,2.10,12.53
2003,2.25,1.57,1.23,0.97,0.61,-0.15,0.20,0.34,0.78,0.29,0.34,0.52,9.30
2004,0.76,0.61,0.47,0.37,0.51,0.71,0.91,0.69,0.33,0.44,0.69,0.86,7.60
2005,0.58,0.59,0.61,0.87,0.49,-0.02,0.25,0.17,0.35,0.75,0.55,0.36,5.69
2006,0.59,0.41,0.43,0.21,0.10,-0.21,0.19,0.05,0.21,0.33,0.31,0.48,3.14
2007,0.44,0.44,0.37,0.25,0.28,0.28,0.24,0.47,0.18,0.30,0.38,0.74,4.46
2008,0.54,0.49,0.48,0.55,0.79,0.74,0.53,0.28,0.26,0.45,0.36,0.28,5.90
2009,0.48,0.55,0.20,0.48,0.47,0.36,0.24,0.15,0.24,0.28,0.41,0.37,4.31
2010,0.75,0.78,0.52,0.57,0.43,0.00,0.01,0.04,0.45,0.75,0.83,0.63,5.91
2011,0.83,0.80,0.79,0.77,0.47,0.15,0.16,0.37,0.53,0.43,0.52,0.50,6.50
2012,0.56,0.45,0.21,0.64,0.36,0.08,0.43,0.41,0.57,0.59,0.60,0.79,5.84
2013,0.86,0.60,0.47,0.55,0.37,0.26,0.03,0.24,0.35,0.57,0.54,0.92,5.91
2014,0.55,0.69,0.92,0.67,0.46,0.40,0.01,0.25,0.57,0.42,0.51,0.78,6.41
2015,1.24,1.22,1.32,0.71,0.74,0.79,0.62,0.22,0.54,0.82,1.01,0.96,10.67
2016,1.27,0.90,0.43,0.61,0.78,0.35,0.52,0.44,0.08,0.26,0.18,0.30,6.29
2017,0.38,0.33,0.25,0.14,0.31,-0.23,0.24,0.19,0.16,0.42,0.28,0.44,2.95
2018,0.29,0.32,0.09,0.22,0.40,1.26,0.33,-0.09,0.48,0.45,-0.21,0.15,3.75
2019,0.32,,,,,,,,,,,,0.32